subject,color,bp,wp,response,rt,splitg,cnn_nll,n_pieces,cnn_0,cnn_1,cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,cnn_7,cnn_8,cnn_9,cnn_10,cnn_11,cnn_12,cnn_13,cnn_14,cnn_15,cnn_16,cnn_17,cnn_18,cnn_19,cnn_20,cnn_21,cnn_22,cnn_23,cnn_24,cnn_25,cnn_26,cnn_27,cnn_28,cnn_29,cnn_30,cnn_31,cnn_32,cnn_33,cnn_34,cnn_35,prediction
0,0,000000000000000000000000000000000000,000000000000000000000000000000000000,11,7223,5,3.887827979264579,0,0.025884277062756488,0.00605574193300726,0.007000440758635356,0.011942304896145204,0.024292959290757286,0.011520102705509173,0.007992268959057571,0.005049494666068269,0.024910368063472285,0.0028755596373201704,0.01106948037697753,0.020489802015650215,0.05802065882455011,0.1822883866670689,0.05582509346329714,0.018196777516768757,0.011029037763361468,0.0026018022249054474,0.003089402949123647,0.011377395432676298,0.019260989526121628,0.059921323644963484,0.18440427440383844,0.05976499311061641,0.020006537184515897,0.011544241769739491,0.002766201071654856,0.02601335462036539,0.005498397537874795,0.008634991717441032,0.0157720679589675,0.02803042586438365,0.014540137054237939,0.009917155507601144,0.0065226263449136394,0.025890927475656092,22
1,1,000000000000000000000000000000000000,000000000001000000000000000000000000,24,5141,5,4.397905813463314,1,0.014903893005212328,0.021925014002471457,0.02051386368188303,0.027415725677918296,0.025486535870565857,0.011937995642120761,0.005180192653064138,0.0020119032273051974,0.012702429027440705,0.0026480980516273107,0.025775914374297867,0.0,0.09734599517619713,0.1431403286832079,0.05082918273002322,0.013988298829165633,0.006864474033048538,0.0014470213924616937,0.002843241780327383,0.02999593670732399,0.04415387930901713,0.0890054711822488,0.13464306665875522,0.05980153374672265,0.012303077883659573,0.005625693797538874,0.0012479832165530036,0.019104866672362317,0.012823107851435419,0.016950846472251452,0.015828581674590312,0.0394758693983566,0.009023247676685464,0.00755983692355203,0.004329286950360199,0.011167606040248433,13
0,0,000000000001000000000000000000000000,000000000000000000000000100000000000,21,3154,5,2.4506138249008833,2,0.006670429069817831,0.008984196194822418,0.01356497893600795,0.020902912240232566,0.04041589905126878,0.014585666007275979,0.01002986889935025,0.0047180054939579925,0.009714033567950258,0.0026745624361460252,0.02648068692086088,0.0,0.13748966475785981,0.12497011662526568,0.07302393431351581,0.026465847454320297,0.01256794754163788,0.0014197458677779069,0.0015030604764097377,0.016639344095484603,0.034308127978180544,0.08624063360075715,0.11164014882962142,0.07156310716629978,0.0,0.011586462041565285,0.0017453125388015632,0.00837604597040131,0.008793854826070499,0.013539661895038586,0.019463542351619425,0.027866027348024094,0.015419755897957762,0.016578737091972585,0.015052698425655441,0.005004984088071727,12
1,1,000000000000000000000000100000000000,000000000001000000000100000000000000,31,5715,4,2.1916860841233636,3,0.00443770482177088,0.03344126982177673,0.010527220151405824,0.03674797605034782,0.03407142154054849,0.025703469496719287,0.007126797143135636,0.002282648103028326,0.002723497066832423,0.0010267330431627645,0.013908957539620853,0.0,0.07089162592886544,0.1321745869647421,0.06143111350610483,0.036247377250520296,0.012517901631714167,0.0010287554906773775,0.002168482886547054,0.012574833044369491,0.03991178741865016,0.0,0.12707275135116514,0.11358384750323754,0.0,0.012928615976704357,0.004116523359418253,0.006065798208345792,0.008090653880985677,0.010116442716774235,0.029687821899648546,0.11172820655790021,0.014985281168754945,0.007798109153130591,0.006769916370823595,0.0061118729525711825,13
0,0,000000000001000000000100000000000000,000000000000000000000000100000010000,14,6837,3,3.317386689347187,4,0.00555893435438495,0.02007048395421298,0.013871906712009897,0.03718507140877162,0.04659652750958231,0.014628296115217019,0.008676281996637013,0.0038620535177058004,0.00731266373705161,0.004078292928014401,0.020046102025768883,0.0,0.12014926696410844,0.17588970371105794,0.036247433892947725,0.025961816258617328,0.00494186897211082,0.0023143392100654445,0.0028590910537594854,0.024124795106285145,0.05351202522710017,0.0,0.1420029805704148,0.0743152879978488,0.0,0.01414612927169582,0.003893616291082945,0.006938633712910281,0.006278900045065805,0.025870685164964744,0.03271150875617023,0.0,0.037932379385198424,0.008551004603798646,0.013722274645524515,0.0057496448999160635,13
1,1,000000000000000000000000100000010000,000000000001001000000100000000000000,33,8987,3,3.777175902384236,5,0.0011446046922954636,0.015241332557731913,0.010074577492859652,0.030902012237181642,0.0373458672016785,0.02741005584560232,0.01377721171132832,0.004639788919910927,0.0025844098663948293,0.000591518872350519,0.01153896615230717,0.0,0.12821980782695222,0.1960718748250989,0.0,0.06923132923512317,0.007635177975467752,0.0008478376246711388,0.0006990030520806423,0.004129895542427948,0.0333647911514745,0.0,0.04794378443338573,0.09491039410411141,0.0,0.01170534288339849,0.001685701318416039,0.003647212784957885,0.0027784563707634693,0.0415689277184107,0.08067747161572614,0.0,0.08159816218564377,0.022887236030767283,0.01063697352337497,0.004510274248106614,13
0,0,000000000001001000000100000000000000,000000000000000000000000100000010100,13,2020,4,2.491515397275561,6,0.0010370191000668096,0.0033058653424024678,0.01231804023202294,0.030059190369678197,0.026691673084592096,0.011974232460465707,0.031301052312516106,0.015544017360493038,0.0015464481447732424,0.0004777655409805181,0.009428445485943496,0.0,0.1768211699957861,0.08278442018805998,0.0,0.15552584224037827,0.009012553051026762,0.00033079700566099286,0.0005239738497550831,0.011215342940266418,0.02138620472975026,0.0,0.0730057561753492,0.09968804209009724,0.0,0.009328539347508349,0.0005595787876103055,0.0007916641151300106,0.002680552265323629,0.0217477323922642,0.05728737553705853,0.0,0.10678683457774328,0.0,0.026118949933310577,0.0007209213439861004,12
1,1,000000000000000000000000100000010100,000000000001011000000100000000000000,12,4340,2,0.5552099245991278,7,0.0009643803017119376,0.004707352065929756,0.010240174202928722,0.01046325842453236,0.010984369505886132,0.02748168164464917,0.007264202104155383,0.0006683172234867222,0.0008551103707881724,0.0004827449778526857,0.012916102148803553,0.0,0.573951761955454,0.0,0.0,0.1618062962674679,0.0029690740424366097,0.0007154660652227734,0.00026601247676814687,0.001202711524151588,0.01342348967073172,0.0,0.0069043656732285675,0.017497065584081338,0.0,0.00846671785942727,0.0005832679626424612,0.0005507099645817381,0.0020320737654699775,0.05234221497926322,0.03901159083027631,0.0,0.02514498285989744,0.0,0.004942699121133005,0.001161806427041312,12
0,0,000000000001011000000100000000000000,000000000000100000000000100000010100,29,9471,1,3.192807624462302,8,0.0021287731012170777,0.00564124622853369,0.017115912595837474,0.04479836797194949,0.041980239018185456,0.03616590544090169,0.04112346011898426,0.007409799067000325,0.0017453238486690853,0.0005162919549953427,0.008739704314097799,0.0,0.0,0.0,0.0,0.16033624245499828,0.019271153371794438,0.001155749500919899,0.0005746920853111388,0.014957258967643666,0.04096319433763513,0.0,0.15545935723848706,0.12764700073147045,0.0,0.017904870640346484,0.0008284264051368059,0.002099698412478355,0.011806196813671996,0.04105643790918722,0.05100169056060136,0.0,0.11204766060588864,0.0,0.03303703713994187,0.002488309164115708,15
1,1,000000000000100000000000100000010100,000000000001011000000100000001000000,5,5049,3,2.0892268718060105,9,0.002449195881080715,0.02324639314169756,0.033493964958176886,0.04005073020384334,0.047785956672689096,0.12378279880450016,0.006141013701645527,0.0036242551625259374,0.0015893844620362553,0.0003541831998552597,0.005174116285338328,0.0,0.0,0.0,0.0,0.18918801386732959,0.028786095415773993,0.004482774543086578,0.0009791640546620093,0.008580385445122582,0.09865552907512926,0.0,0.04081860764591163,0.11331084227381755,0.0,0.01790155025063209,0.0019436816250589068,0.0028692623647006087,0.003541750025703307,0.0,0.0411318910001147,0.0,0.13892050952851687,0.0,0.016491618808365457,0.004706331602685789,15
