subject,color,bp,wp,response,rt,splitg,cnn_nll,n_pieces,cnn_0,cnn_1,cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,cnn_7,cnn_8,cnn_9,cnn_10,cnn_11,cnn_12,cnn_13,cnn_14,cnn_15,cnn_16,cnn_17,cnn_18,cnn_19,cnn_20,cnn_21,cnn_22,cnn_23,cnn_24,cnn_25,cnn_26,cnn_27,cnn_28,cnn_29,cnn_30,cnn_31,cnn_32,cnn_33,cnn_34,cnn_35,prediction
0,0,000000000000000000000000000000000000,000000000000000000000000000000000000,11,7223,5,4.156188170402348,0,0.034329430447612726,0.006370797315404542,0.00652989298654758,0.010437023075790912,0.023103990731484392,0.010155342391775507,0.00674025482568912,0.00662308253648979,0.03445106640753559,0.003925158716679852,0.012734784939700292,0.015667164804678734,0.05115174182061494,0.19254259172644442,0.05134224367175598,0.01601955935302709,0.011648528140790154,0.003931275590476179,0.004005668757288426,0.01233361226876138,0.01606810287089475,0.05140743366499971,0.1941515734725265,0.05108570764463846,0.016427985189074158,0.012554870069491025,0.003875498974857972,0.0356361873873288,0.006556738704551369,0.007048463908538366,0.009398034704242495,0.023910501882648705,0.010208233132944755,0.00665848234546293,0.006357409760635715,0.03461156577861647,22
1,1,000000000000000000000000000000000000,000000000001000000000000000000000000,24,5141,5,4.443788785989582,1,0.008469856958584049,0.020082326897883113,0.022531094097907073,0.015320806857776384,0.037489780175804725,0.010005589146900747,0.00510910994166396,0.0015097667051769312,0.016383899857966358,0.005137973634829006,0.022588273566713866,0.0,0.11597758273026419,0.18592192851647363,0.04751976354806206,0.01036652177632825,0.0026509968201683075,0.0007045595234855101,0.0033337700386442495,0.020023481896159212,0.038362880154716,0.06929367154764406,0.12973826778399103,0.09673731577612216,0.011751330791084256,0.005152166266023782,0.0011284426207779567,0.009060877774519454,0.011941357953687904,0.011418259971789392,0.008468343865008877,0.03676911283019038,0.00481418478159828,0.0037441538012813374,0.0022028499541289948,0.00828970143664441,13
0,0,000000000001000000000000000000000000,000000000000000000000000100000000000,21,3154,5,2.7027419176056338,2,0.0029072056887500465,0.010492297821615194,0.009376030168801942,0.013388037742783389,0.018421029353632386,0.0036718227445891125,0.002876309080454673,0.003684526746458415,0.0028551847818636534,0.005917928586015927,0.039845665687725754,0.0,0.3418878248460451,0.12448552623690917,0.035495910967040224,0.027605243408995554,0.00517626516238345,0.0007226433113653017,0.0004905324534643858,0.012056137203726223,0.02805302059117265,0.06702149315972614,0.09275374285816741,0.05442471198267627,0.0,0.0049388117721916435,0.0012350482667500401,0.008600960893658362,0.0017962414122496776,0.011861817215961827,0.009672988727460237,0.03239111871690949,0.005813638203256748,0.01204980820922026,0.0055742078656603735,0.002456268132319173,12
1,1,000000000000000000000000100000000000,000000000001000000000100000000000000,31,5715,4,0.8899117464737204,3,0.000558004511325266,0.07787503202451913,0.001941234666247568,0.003657930481463963,0.03193411599235274,0.010976163471471569,0.002584377756590053,0.00034263722129863596,0.002178907362701858,0.00027559460054907,0.0019995583135007833,0.0,0.024956944031949074,0.07164453256750951,0.06012452252361645,0.02466271554667714,0.006667415570612338,0.0003069145037924675,0.0006798812162566298,0.0012395855978202881,0.027698252766244113,0.0,0.07336728423654568,0.10913067149349447,0.0,0.03415844521152884,0.0016200165344816212,0.0012419907971531526,0.002505191918687935,0.002578598179001485,0.0034202913968666674,0.4106919961698941,0.003284988116232687,0.0009125550533499452,0.003473863274556537,0.0013097868917083786,31
0,0,000000000001000000000100000000000000,000000000000000000000000100000010000,14,6837,3,4.013143796411702,4,0.0024252880349063736,0.004830510091057973,0.0020938574779259876,0.05270362380516341,0.011727882854529694,0.006429487518606757,0.002084643711244982,0.001499800683806986,0.001180475127253991,0.0023811165450917,0.026077188845469276,0.0,0.22683800417501596,0.14675430210078524,0.018076477050397752,0.014269415834992251,0.0013505880271886131,0.0006330242104354431,0.0020963678070013625,0.034734106546650524,0.12668705752687143,0.0,0.1759685443227312,0.06363101853756561,0.0,0.003394341614793042,0.0014021501464674703,0.006380513716760974,0.0024273051857031692,0.030199695273481576,0.018376773840788934,0.0,0.007680453592272799,0.0023417399771708176,0.002473657653741473,0.0008505881641271718,12
1,1,000000000000000000000000100000010000,000000000001001000000100000000000000,33,8987,3,4.758333644333039,5,0.0007364290149591348,0.019144103348032404,0.00419225040754283,0.011680280283877048,0.03611473654457578,0.012219973375587714,0.011659769051317605,0.001731397847098747,0.003109129310886212,0.0005878130296735638,0.006236548762527749,0.0,0.06137476888882007,0.1412893361714876,0.0,0.15506265653928064,0.010745075681946416,0.0005869169361890749,0.0006244564331843694,0.0013948083448621948,0.06686737860559629,0.0,0.05099837001676806,0.19400132295238112,0.0,0.02230480597882294,0.003187404466770242,0.004345724587294744,0.002172767653966026,0.021860307800160305,0.05713988950920795,0.0,0.0846453763159901,0.008579894648107182,0.001662633346414286,0.0037436741466714504,23
0,0,000000000001001000000100000000000000,000000000000000000000000100000010100,13,2020,4,1.611922991590872,6,0.00011523208855315145,0.0002714250166083879,0.0009700221314306188,0.019629433007292005,0.003291508514430781,0.002619535384953007,0.02191712369716504,0.001011263065943315,0.00015131680762256794,0.0002844581755154011,0.008080275316874873,0.0,0.24523784614860716,0.1995036012192406,0.0,0.2675082176373592,0.003151741636078079,0.00013619469299384814,0.00028366880587479994,0.003768087396723297,0.03486531156398895,0.0,0.0837652052212355,0.028101520607049103,0.0,0.0015346329223474178,0.00018835304293654166,0.00034798101361991105,0.0005869902881868788,0.010613049129894105,0.017751607462369996,0.0,0.041934667207216364,0.0,0.0023396449996003956,4.0085798288532574e-05,15
1,1,000000000000000000000000100000010100,000000000001011000000100000000000000,12,4340,2,0.8162262762427057,7,0.00034595014186839955,0.0012371436115620243,0.0005366819944772348,0.000691822193420226,0.0012622160923259,0.015490285523132048,0.0028515371544804995,4.6280083070112235e-05,0.00010433305660617342,0.00011720343849112802,0.001217749732613628,0.0,0.442096861944325,0.0,0.0,0.47186994491665696,0.0005291369948079849,0.00041637506659848006,1.5951685556950317e-05,0.000160039995213826,0.003636482010292731,0.0,0.0011042423362935822,0.005809120250259429,0.0,0.006899930517169424,0.0002289957946895372,0.0004284050985948299,0.00031954208938879354,0.02291904445977306,0.00536140363016849,0.0,0.01237355809161763,0.0,0.0016577412257100803,0.00027202087083563514,15
0,0,000000000001011000000100000000000000,000000000000100000000000100000010100,29,9471,1,4.367419709761554,8,0.00010106932602263676,0.0004010249819821671,0.0013243406624214053,0.012907562938981333,0.0027844256730350154,0.016023182521759664,0.028759380565106057,0.0013233673257586156,0.00019222319971572062,6.637568119904945e-05,0.0004536067429649127,0.0,0.0,0.0,0.0,0.7012305285398174,0.010666727418788626,0.000172357219880411,5.593912713958564e-05,0.018429529486586927,0.03405778528191977,0.0,0.04421857497815304,0.05836296538752942,0.0,0.000907400729834422,1.9446296304571113e-05,0.00013087675322629092,0.0011838951457321693,0.012683926592126615,0.0050907820534941105,0.0,0.043828562286929836,0.0,0.003999665343577455,0.0006244777400127143,15
1,1,000000000000100000000000100000010100,000000000001011000000100000001000000,5,5049,3,1.794927814849133,9,0.0016992814888508166,0.004755273274460066,0.01790883176757193,0.006635594935756417,0.01951953953101321,0.16613944471487468,0.005497916525284037,0.0002982770524024999,0.0011398596375736781,0.00020318193003704044,0.0010715973898485925,0.0,0.0,0.0,0.0,0.3615937715742306,0.008081174567735959,0.0018861257246179971,0.0001694679686914586,0.0007632855793983118,0.18293227682107802,0.0,0.017592892615257948,0.034665552278323276,0.0,0.023275299452546652,0.005089723997779187,0.001683143872645063,0.003237791785348614,0.0,0.004633118371174041,0.0,0.1253848617434652,0.0,0.0019994513337276867,0.002143264066307152,15
