subject,color,bp,wp,response,rt,splitg,cnn_nll,n_pieces,cnn_0,cnn_1,cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,cnn_7,cnn_8,cnn_9,cnn_10,cnn_11,cnn_12,cnn_13,cnn_14,cnn_15,cnn_16,cnn_17,cnn_18,cnn_19,cnn_20,cnn_21,cnn_22,cnn_23,cnn_24,cnn_25,cnn_26,cnn_27,cnn_28,cnn_29,cnn_30,cnn_31,cnn_32,cnn_33,cnn_34,cnn_35,prediction
0,0,000000000000000000000000000000000000,000000000000000000000000000000000000,11,7223,5,4.0371730782692605,0,0.02984992969980784,0.005951880510408594,0.006230014095767153,0.010937774261092598,0.026294633690722144,0.01133726422188415,0.006487899403536572,0.005690190210640643,0.02938255428904472,0.0029496907145493212,0.011980622569007887,0.017647289474087738,0.05908220461779782,0.18909692638315329,0.05820118480100036,0.01649888060018711,0.011616120773286802,0.0028533832637063802,0.0031186025304457687,0.012386539549170877,0.016080132089554135,0.05718628333522233,0.18537118478207,0.05633101134977931,0.016919479576183744,0.012282528715244063,0.0028960243165827757,0.0304066158296088,0.0060417875698950884,0.006442761993550484,0.011132981628715313,0.02761483745774522,0.010906385039898768,0.006783308203099116,0.0059593625314039505,0.03005172992214888,13
1,1,000000000000000000000000000000000000,000000000001000000000000000000000000,24,5141,5,4.488918508699619,1,0.016500134400643712,0.015717696824708142,0.015586334558304367,0.02203737480847755,0.03146003464934453,0.010844467937997926,0.006032152553311966,0.002217043800759906,0.017704518307993484,0.0060284040847206335,0.03625591866959758,0.0,0.09871595937157741,0.1666116692891406,0.05118616575930123,0.012122781074353078,0.005827115054313447,0.0011241664321560445,0.0039087137980720185,0.02499925471736677,0.04386079139758047,0.0722131165981408,0.12595984996120257,0.07308920010492598,0.011232785402584012,0.007224889444515802,0.0010717055050181782,0.01678990626901486,0.013096476799104638,0.011570094107096317,0.01277153689235008,0.03488904475101732,0.008197344423575588,0.004526624063083857,0.0035372128977091775,0.015089515290939817,13
0,0,000000000001000000000000000000000000,000000000000000000000000100000000000,21,3154,5,2.8059395291998905,2,0.004821325392612697,0.017876970325503706,0.01858632247977035,0.019568695977387585,0.03369497542401947,0.010665308929081262,0.007571051396990225,0.004387855794745276,0.006271504863150477,0.0047511504073387105,0.03522126819252715,0.0,0.17745233914535966,0.12673689623446063,0.05681373221866157,0.021730448665966188,0.011435698980471247,0.00131355510885174,0.0012507625488401431,0.013749457429347713,0.03855980965923404,0.060449949991032065,0.12379607647764301,0.06304818103538867,0.0,0.00648830200547655,0.0014223209559312373,0.007628226192691023,0.005892940037272576,0.013931200670341462,0.02389758075185168,0.03899044328974921,0.016771484817697725,0.012241766537874838,0.008512698833325415,0.004469699229404626,12
1,1,000000000000000000000000100000000000,000000000001000000000100000000000000,31,5715,4,1.549567311174933,3,0.0022761501236002045,0.0655090836112941,0.005574031129105074,0.011666360647013256,0.03196431000245006,0.02852256755995486,0.006194192116417588,0.001564909018897037,0.003102853146508696,0.0003238723862007174,0.005037834159837889,0.0,0.06094569469164443,0.07017454029035705,0.07852891890288083,0.03459834210925829,0.009694058952925468,0.000704925486887105,0.0016055110487166353,0.006415806630797748,0.028973232625643712,0.0,0.11982184863427728,0.13399280222643842,0.0,0.024474932462709938,0.001967178250821292,0.004274475792399221,0.0038564951302770016,0.007295260443390915,0.008905257612044887,0.21233983102451923,0.016762837301995896,0.0040849296120127635,0.006074809149858169,0.002772147718864154,31
0,0,000000000001000000000100000000000000,000000000000000000000000100000010000,14,6837,3,3.2003432415079294,4,0.004756579815515916,0.024111610325536204,0.015291294253943388,0.067224878348778,0.024132673714037114,0.01491814529751045,0.005888764407863105,0.0061607324368547186,0.0013144440233189398,0.0031941677527013153,0.02101752995709774,0.0,0.1558818336866467,0.15307817844256272,0.04074821509892556,0.02629652442371163,0.003954968532162412,0.0015779774407520398,0.004385870619162431,0.027436492929656782,0.06140096178308977,0.0,0.13836688863150234,0.06327402229225823,0.0,0.006920530583207798,0.0020877133160563596,0.005617909822809907,0.004696863166007999,0.02813059081766926,0.03740136589718151,0.0,0.03410616129958586,0.008196029376293046,0.006461995314010789,0.001968086193590051,12
1,1,000000000000000000000000100000010000,000000000001001000000100000000000000,33,8987,3,4.574130406559676,5,0.0008268146550252751,0.01646875062545762,0.009421464461106187,0.015619498400345157,0.041915986272700476,0.038268160623298776,0.02079707596926061,0.009422568750976594,0.003315302116624882,0.0007499777842519442,0.008828393654576648,0.0,0.10849719144524485,0.172771979297101,0.0,0.11180900316269021,0.00837231798928692,0.000836740271252915,0.0003745624943903858,0.003153662095120059,0.02623276439675093,0.0,0.051106883762548,0.1583721240549646,0.0,0.011388419093928468,0.0011070903514205275,0.002094086520501412,0.0026233300302387894,0.023977164730554654,0.05932399404192884,0.0,0.06927316271217207,0.010315265366064095,0.007920732647415949,0.004815532222801278,13
0,0,000000000001001000000100000000000000,000000000000000000000000100000010100,13,2020,4,2.107404490189827,6,0.00046346695516985786,0.0017117581096443967,0.00623558173894206,0.047704994493188435,0.017388414263705583,0.012923587874017161,0.03986738579064582,0.0043392816591758055,0.0008359756380902727,0.0010191000586180952,0.008961669686636326,0.0,0.13402955530962773,0.12155304948832073,0.0,0.19207776810558744,0.012021554421422888,0.0004551665212417517,0.00039864129650496374,0.01141485906487853,0.02947947466209363,0.0,0.11124323640824559,0.050816219380535314,0.0,0.0052088428193687,0.00040883457683674006,0.0006805977524540885,0.002343628582876598,0.011141267839814924,0.053958950163728744,0.0,0.11356108215525239,0.0,0.007289668157296872,0.0004663870260784438,15
1,1,000000000000000000000000100000010100,000000000001011000000100000000000000,12,4340,2,0.7929738374862755,7,0.00037046350176250136,0.003701873961846226,0.002505240336101656,0.0036927862287544745,0.0046527309879187745,0.028874242167323847,0.01066651223930367,0.0003163932769204116,0.00018895309113749645,0.0003439052635458017,0.006589393612687684,0.0,0.4524971394650787,0.0,0.0,0.32156122591998826,0.0016366913534298722,0.0003939201147261256,7.66245650253361e-05,0.0006007823820507909,0.006792175718810882,0.0,0.00650384711866301,0.017082978606305466,0.0,0.007525771339287128,0.00046930753679135927,0.0005615051233133309,0.0010306153172426342,0.04938469214756478,0.0429000455165425,0.0,0.025793802059547805,0.0,0.0027658411395003173,0.0005205399088292866,12
0,0,000000000001011000000100000000000000,000000000000100000000000100000010100,29,9471,1,4.2403372867072715,8,0.0010073564886374517,0.0031599222019836207,0.007430539634933282,0.050757385193444526,0.024313607561509503,0.01597652833640816,0.03364352922306853,0.0026121504638083404,0.0005497581396516938,0.00014467635210506605,0.0031238853931946247,0.0,0.0,0.0,0.0,0.4627306998903952,0.009156406881858965,0.00038909762106855377,0.00015127650073538555,0.017640078106260806,0.046681372683229576,0.0,0.07535618585098586,0.08215802922232085,0.0,0.00546965173442574,6.593719999060466e-05,0.0005271000786877334,0.0076772422226195815,0.014402733173328313,0.028435339041108766,0.0,0.08979233482434162,0.0,0.014815597961219666,0.001831578018677912,15
1,1,000000000000100000000000100000010100,000000000001011000000100000001000000,5,5049,3,1.5333323159746581,9,0.0019203338167518612,0.024248537006415948,0.06403628154890835,0.02207177338084704,0.034338526284775815,0.2158153029601488,0.010403452382950635,0.004431949845183324,0.0021400153251559238,0.0009920355926997363,0.00678776348964926,0.0,0.0,0.0,0.0,0.16626817136751634,0.014988787644294975,0.002588596667566782,0.0008441845592056182,0.003263778058272737,0.09344567646964494,0.0,0.0370747279152634,0.050990134329026354,0.0,0.016440695903718435,0.001552175135156873,0.0014686937933873164,0.005154706144148769,0.0,0.04464101545655581,0.0,0.16024782332966347,0.0,0.009686976498735811,0.004157885094355424,5
0,0,000000000001011000000100000001000000,000001000000100000000000100000010100,15,7365,4,1.2158458758985478,10,0.00123826728588588,0.0033058225126997307,0.01805995544273883,0.08142058728928009,0.023602416863909174,0.0,0.04329149437410706,0.007243294563768584,0.0012621624432126266,0.0006738619356107206,0.008730386830840446,0.0,0.0,0.0,0.0,0.29645914056307593,0.02631800366404037,0.0009455501094926074,0.0008449610486443316,0.02076867640843077,0.04556300762005445,0.0,0.1727430894816924,0.05674591520418184,0.0,0.006200978173041828,0.0003203672048858623,0.0013646471214045393,0.0064962555988297,0.0,0.07507157297130337,0.0,0.09109282008575857,0.0,0.008853509525920343,0.0013832556771898705,15
1,1,000001000000100000000000100000010100,000000000001011100000100000001000000,16,3170,2,1.178296878172907,11,0.002756149531865613,0.017199315786293405,0.027605061191491115,0.02257784971644753,0.046890595346876625,0.0,0.015680021285645017,0.003680443418265736,0.0006215080399167034,0.0007181457321266585,0.004831608158052041,0.0,0.0,0.0,0.0,0.0,0.3078025176309861,0.015864129812379474,0.0002914532705257526,0.004102978846855363,0.12109115369506263,0.0,0.043113348322652525,0.09570099483053196,0.0,0.028729594569060237,0.0050012208319167115,0.0015474804618704587,0.012045158032198357,0.0,0.027332266606511856,0.0,0.1846587883249739,0.0,0.0058881712028064906,0.004270045354687669,16
0,0,000000000001011100000100000001000000,000001000000100010000000100000010100,20,3125,3,3.6680186161753183,12,0.008803592402286804,0.005840021646231921,0.011302123175432078,0.06237752291527898,0.041678226075149136,0.0,0.025932263878967847,0.033396992016930804,0.014426601163341386,0.003538486279703106,0.011554334489125729,0.0,0.0,0.0,0.0,0.0,0.0,0.006483540908302911,0.0018911501041237423,0.05301529257027174,0.02552699865399423,0.0,0.09279579479234537,0.10890995235674462,0.0,0.02105649653277039,0.0026168897646822583,0.00470035355730719,0.009939845098212047,0.0,0.11580962671904584,0.0,0.31660679449859364,0.0,0.018762373591094124,0.0030347268100641826,32
